"ComponentIndex","Cosine","DeltaMZ","EdgeAnnotation","EdgeType","interaction","MEH","name","OtherScore","selected","shared interaction","shared name","shared_motifs","TopSharedMotifs"
"32","0.9588","-46.006","","Cosine","cosine","1529.0","1529 (-) 1629","1529.0","false","cosine","1529 (-) 1629","motif_47,motif_130","motif_130,motif_137,motif_166,motif_47,motif_170"
"32","0.9588","-46.006","motif_47","Mass2Motif","motif_47","1529.0","1529 (-) 1629","1529.0","false","motif_47","1529 (-) 1629","motif_47,motif_130","motif_130,motif_137,motif_166,motif_47,motif_170"
"32","0.9588","-46.006","motif_130","Mass2Motif","motif_130","1529.0","1529 (-) 1629","1529.0","false","motif_130","1529 (-) 1629","motif_47,motif_130","motif_130,motif_137,motif_166,motif_47,motif_170"
"47","0.9152","-32.025999999999996","","Cosine","cosine","1530.0","1530 (-) 1606","1530.0","false","cosine","1530 (-) 1606","motif_72,motif_51","motif_72,motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m"
"47","0.9152","-32.025999999999996","motif_72","Mass2Motif","motif_72","1530.0","1530 (-) 1606","1530.0","false","motif_72","1530 (-) 1606","motif_72,motif_51","motif_72,motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m"
"47","0.9152","-32.025999999999996","motif_51","Mass2Motif","motif_51","1530.0","1530 (-) 1606","1530.0","false","motif_51","1530 (-) 1606","motif_72,motif_51","motif_72,motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m"
"-1","1.0","0.0","","Cosine","cosine","1.0","1531 (-) 1531","1.0","false","cosine","1531 (-) 1531","motif_106","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","motif_106","Mass2Motif","motif_106","1.0","1531 (-) 1531","1.0","false","motif_106","1531 (-) 1531","motif_106","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","","Cosine","cosine","1.0","1532 (-) 1532","1.0","false","cosine","1532 (-) 1532","motif_39","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","motif_39","Mass2Motif","motif_39","1.0","1532 (-) 1532","1.0","false","motif_39","1532 (-) 1532","motif_39","motif_142,motif_89,motif_51,motif_132,motif_97"
"145","0.9165","-94.042","","Cosine","cosine","1533.0","1533 (-) 1746","1533.0","false","cosine","1533 (-) 1746","motif_51,rhamn_motif_163.m2m,motif_108","motif_51,rhamn_motif_163.m2m,motif_168,motif_108,motif_59"
"145","0.9165","-94.042","motif_51","Mass2Motif","motif_51","1533.0","1533 (-) 1746","1533.0","false","motif_51","1533 (-) 1746","motif_51,rhamn_motif_163.m2m,motif_108","motif_51,rhamn_motif_163.m2m,motif_168,motif_108,motif_59"
"145","0.9165","-94.042","rhamn_motif_163.m2m","Mass2Motif","rhamn_motif_163.m2m","1533.0","1533 (-) 1746","1533.0","false","rhamn_motif_163.m2m","1533 (-) 1746","motif_51,rhamn_motif_163.m2m,motif_108","motif_51,rhamn_motif_163.m2m,motif_168,motif_108,motif_59"
"145","0.9165","-94.042","motif_108","Mass2Motif","motif_108","1533.0","1533 (-) 1746","1533.0","false","motif_108","1533 (-) 1746","motif_51,rhamn_motif_163.m2m,motif_108","motif_51,rhamn_motif_163.m2m,motif_168,motif_108,motif_59"
